id_komentar,author_name,updated_at,text,text_clean
Ugy9wJoQQoNBJJ_tJ9l4AaABAg,@sweetrosa8355,2025-05-17 13:53:24+00:00,"Saya dari Jawa timur penggemar KDM,, Kalau saya pikir tidak ada masalah dgn Youtube nya KDM karena beliau membangun Youtube nya sejak th 2019 ,, dan juga penghasilan dr Youtube sebagian banyak untuk membantu Masyarakat yg benar2 membutuhkan. Tolong jangan disamakan KDM dengan Jokowi walaupun saya dulu Jokowers,/partisipan Jokowi yg ada di London yg sekarang lagi kecewa dgn JKW. Anyway Kritik juga perlu untuk KDM agar supaya lebih2 berhati2 dlm melangkah/mengambil kebijaksanaan.",jawa timur penggemar kdm pikir youtube nya kdm beliau membangun youtube nya penghasilan youtube membantu masyarakat membutuhkan tolong disamakan kdm jokowi jokowers partisipan jokowi london kecewa jkw anyway kritik kdm berhati melangkah mengambil kebijaksanaan
Ugwsy9QgjhW-acfo2C54AaABAg,@duniaprint3193,2025-05-17 13:53:13+00:00,AYO cerdas bersama BOCOR ALUS...,ayo cerdas bocor alus
UgzLW4YZoIBkVikBm_l4AaABAg,@GreavesOfficial-g9s,2025-05-17 13:52:41+00:00,Kdm ramah algoritma 😅,kdm ramah algoritma
Ugyf2kCynkMRB8zZuJd4AaABAg,@COMBIVw,2025-05-17 13:52:06+00:00,"Jauh bro , ngasal banget bikin berita",bro ngasal banget bikin berita
UgyR2xUgOMkugzwVpvR4AaABAg,@piancr903,2025-05-17 13:51:45+00:00,"Kesimpulannya lu semua cuma nyinyir, dengki, gomong doang pinter.",kesimpulannya lu nyinyir dengki gomong doang pintar
UgzdkeL2U7DpPAjUosJ4AaABAg,@suhandisuhandi8545,2025-05-17 13:51:42+00:00,"Jangan lagi tertipu dengan berbagai model pencitraan...pilihlah calon pemimpin yg benar2 mengabdi utk bangsa, negara dan umat.",tertipu model pencitraan pilihlah calon pemimpin mengabdi bangsa negara umat
UgzhdxPZygu_SEYpNfR4AaABAg,@wahyudi-wy4sf,2025-05-17 13:50:57+00:00,liat wilayah terdahulu ajah ...ada kemajuan ndda.. gitu ajah simpel..😅 tapi untuk Ri 1 nanti dulu..minimal 2 priode dan 75% janjinya terpenuhi...,lihat wilayah kemajuan ndda simpel ri minimal priode janjinya terpenuhi
UgwnBHwbRdv3zKt9Ks14AaABAg,@duniaprint3193,2025-05-17 13:50:43+00:00,PENCERAHAN LUARBIASA OLEH BOCOR ALUS.. SEJAK SLTA SAYA SDH KAGUM DGN MAJALAH TEMPO SEJAK TH.78,pencerahan luarbiasa bocor alus slta kagum majalah tempo
UgyKlkO7tXdd5t-8vOZ4AaABAg,@gado_dua1057,2025-05-17 13:50:38+00:00,"kdm deket juga ama 9 naga, waspada",kdm naga waspada
UgzB4BX9CcZQeRPAyb14AaABAg,@rens071,2025-05-17 13:50:28+00:00,"saya mah udah nggak pilih pilih lagi. sama aja. gini gini aja.
ze golongan putih.",mah pilih pilih ze golongan putih
UgyQC06Prf4Gre3R0yZ4AaABAg,@mrbbaharizqi3959,2025-05-17 13:50:17+00:00,"Dalam Islam diajarkan untuk bicara yg baik tentang orang lain 😂😂😂,,,dan berprasangka baik juga untuk orang lain,,,",islam diajarkan bicara orang berprasangka orang
UgxfxJODpqehmwBFg2Z4AaABAg,@kunyitkunyit-we8cp,2025-05-17 13:50:10+00:00,Cica keliatan bgt glowing abis liburan euy. Sering2 lah biar fresh Caaa 🥳,cica banget glowing habis liburan euy biar fresh ca
UgwXVXTo31O2fGDMPUl4AaABAg,@aryamahendra4641,2025-05-17 13:49:58+00:00,"ini kritik yang ber isi daging.
bukan serang personal ataupun lainnya",kritik ber isi daging serang personal
